"LoanNr_ChkDgt","MIS_Status","GrAppv","Term","NoEmp","DisbursementGross","ChgOffPrinGr","Loan_Status"
8657824006,"CHGOFF                                                                                              ",10000.00,53,2,10000.00,8901.00,"Declined"
8657834009,"P I F                                                                                               ",25000.00,84,2,25000.00,0.00,"Declined"
8657843005,"P I F                                                                                               ",50000.00,84,1,50000.00,0.00,"Approved"
8657844001,"P I F                                                                                               ",5000.00,84,1,5000.00,0.00,"Declined"
8657854004,"P I F                                                                                               ",150000.00,84,13,150000.00,0.00,"Approved"
8657873003,"P I F                                                                                               ",50000.00,60,12,50000.00,0.00,"Approved"
8657883006,"P I F                                                                                               ",70000.00,84,4,70000.00,0.00,"Approved"
8657913002,"P I F                                                                                               ",500000.00,186,258,410000.00,0.00,"Declined"
8657933008,"P I F                                                                                               ",165000.00,87,1,165000.00,0.00,"Declined"
8657953003,"CHGOFF                                                                                              ",97500.00,15,2,97500.00,10693.00,"Declined"
8657963006,"P I F                                                                                               ",89850.00,87,1,89850.00,0.00,"Declined"
8657973009,"P I F                                                                                               ",90500.00,300,10,90500.00,0.00,"Declined"
8657983001,"CHGOFF                                                                                              ",20000.00,9,2,20000.00,7765.00,"Declined"
8657984008,"P I F                                                                                               ",362000.00,120,30,362000.00,0.00,"Approved"
8657993004,"P I F                                                                                               ",176753.00,24,15,176753.00,63359.00,"Declined"
8658013005,"P I F                                                                                               ",100000.00,60,3,100000.00,0.00,"Approved"
8658023008,"P I F                                                                                               ",136000.00,84,26,136000.00,0.00,"Approved"
8658033000,"P I F                                                                                               ",220000.00,108,2,220000.00,0.00,"Declined"
8658034007,"P I F                                                                                               ",850000.00,300,6,850000.00,0.00,"Declined"
8658053006,"P I F                                                                                               ",50000.00,120,10,50000.00,0.00,"Declined"
8658073001,"P I F                                                                                               ",100000.00,180,2,100000.00,0.00,"Declined"
8658074008,"P I F                                                                                               ",50000.00,108,4,116949.00,0.00,"Declined"
8658084000,"P I F                                                                                               ",23000.00,84,1,23000.00,0.00,"Declined"
8658094003,"P I F                                                                                               ",500000.00,120,16,500000.00,0.00,"Approved"
8658103008,"P I F                                                                                               ",40000.00,84,6,40000.00,0.00,"Declined"
8658104004,"CHGOFF                                                                                              ",350000.00,16,6,820934.00,319771.00,"Declined"
8658113000,"P I F                                                                                               ",245000.00,240,31,245000.00,0.00,"Declined"
8658114007,"P I F                                                                                               ",100000.00,84,10,100000.00,0.00,"Approved"
8658123003,"P I F                                                                                               ",424000.00,180,1,424000.00,0.00,"Declined"
8658133006,"P I F                                                                                               ",300000.00,12,15,300000.00,0.00,"Approved"
8658134002,"CHGOFF                                                                                              ",32000.00,63,3,51113.00,30646.00,"Declined"
8658144005,"P I F                                                                                               ",560000.00,300,1,560000.00,0.00,"Declined"
8658153001,"P I F                                                                                               ",30000.00,60,2,30000.00,0.00,"Declined"
8658154008,"P I F                                                                                               ",105000.00,120,8,105000.00,0.00,"Declined"
8658164000,"P I F                                                                                               ",100000.00,48,15,85950.00,0.00,"Approved"
8658173007,"P I F                                                                                               ",500000.00,242,2,500000.00,0.00,"Declined"
8658184006,"CHGOFF                                                                                              ",434000.00,108,1,434000.00,230085.00,"Declined"
8658193002,"P I F                                                                                               ",100000.00,90,10,74383.00,0.00,"Declined"
8658194009,"P I F                                                                                               ",10000.00,84,1,10000.00,0.00,"Declined"
8658203003,"P I F                                                                                               ",79488.00,68,1,79488.00,0.00,"Approved"
8658213006,"P I F                                                                                               ",150000.00,240,3,150000.00,0.00,"Declined"
8658214002,"CHGOFF                                                                                              ",25000.00,48,3,25000.00,17079.00,"Declined"
8658244000,"P I F                                                                                               ",5000.00,37,6,5000.00,3637.00,"Declined"
8658254003,"P I F                                                                                               ",148500.00,84,5,147430.00,0.00,"Approved"
8658264006,"P I F                                                                                               ",250000.00,12,314,350000.00,0.00,"Declined"
8658273002,"P I F                                                                                               ",37000.00,60,3,37000.00,0.00,"Declined"
8658283005,"P I F                                                                                               ",65000.00,60,2,65000.00,0.00,"Approved"
8658303009,"P I F                                                                                               ",280000.00,300,4,280000.00,0.00,"Declined"
8658304005,"P I F                                                                                               ",162000.00,183,3,162000.00,0.00,"Declined"
8658323004,"P I F                                                                                               ",100000.00,84,10,100000.00,0.00,"Approved"
8658324000,"P I F                                                                                               ",130000.00,82,6,130000.00,0.00,"Approved"
8658333007,"CHGOFF                                                                                              ",100000.00,31,3,100000.00,62648.00,"Declined"
8658344006,"P I F                                                                                               ",49500.00,84,10,49500.00,0.00,"Declined"
8658353002,"P I F                                                                                               ",28000.00,60,6,28000.00,0.00,"Declined"
8658363005,"P I F                                                                                               ",50000.00,180,15,50000.00,0.00,"Declined"
8658393003,"P I F                                                                                               ",19450.00,65,1,19375.00,0.00,"Declined"
8658404000,"CHGOFF                                                                                              ",500000.00,60,25,500000.00,450563.00,"Declined"
8658413007,"P I F                                                                                               ",36100.00,60,15,36100.00,0.00,"Declined"
8658423010,"P I F                                                                                               ",263000.00,240,12,263000.00,0.00,"Declined"
8658424006,"CHGOFF                                                                                              ",110000.00,98,2,110000.00,101004.00,"Declined"
8658434009,"CHGOFF                                                                                              ",288000.00,270,5,288000.00,63765.00,"Declined"
8658443005,"P I F                                                                                               ",25600.00,60,9,25600.00,0.00,"Declined"
8658444001,"CHGOFF                                                                                              ",35000.00,36,2,48788.00,26911.00,"Declined"
8658453008,"P I F                                                                                               ",415000.00,240,17,415000.00,0.00,"Declined"
8658463000,"CHGOFF                                                                                              ",350500.00,7,11,350500.00,155065.00,"Declined"
8658473003,"P I F                                                                                               ",17000.00,84,1,17000.00,0.00,"Declined"
8658474010,"P I F                                                                                               ",75000.00,84,1,115000.00,0.00,"Approved"
8658483006,"P I F                                                                                               ",475000.00,246,5,475000.00,0.00,"Declined"
8658494005,"P I F                                                                                               ",25000.00,84,1,48325.00,0.00,"Declined"
8658503010,"P I F                                                                                               ",80000.00,120,60,80000.00,0.00,"Declined"
8658504006,"P I F                                                                                               ",189000.00,120,2,189000.00,0.00,"Declined"
8658513002,"P I F                                                                                               ",30000.00,36,2,30000.00,0.00,"Declined"
8658533008,"P I F                                                                                               ",100000.00,60,23,63409.00,0.00,"Approved"
8658543000,"P I F                                                                                               ",15000.00,48,1,15000.00,0.00,"Declined"
8658553003,"P I F                                                                                               ",75000.00,36,11,75000.00,0.00,"Approved"
8658554010,"P I F                                                                                               ",1435000.00,155,14,1435000.00,0.00,"Declined"
8658563006,"P I F                                                                                               ",98000.00,96,1,98000.00,0.00,"Declined"
8658583001,"P I F                                                                                               ",451000.00,240,42,451000.00,0.00,"Declined"
8658594000,"P I F                                                                                               ",290000.00,180,5,290000.00,0.00,"Declined"
8658603005,"P I F                                                                                               ",500000.00,300,40,500000.00,0.00,"Declined"
8679984009,"CHGOFF                                                                                              ",5000.00,48,2,5000.00,3501.00,"Declined"
8658604001,"P I F                                                                                               ",51900.00,120,1,51900.00,0.00,"Declined"
8658613008,"P I F                                                                                               ",178000.00,87,7,178000.00,0.00,"Declined"
8658614004,"CHGOFF                                                                                              ",15000.00,62,1,15000.00,12800.00,"Declined"
8658624007,"P I F                                                                                               ",30000.00,84,18,30000.00,0.00,"Declined"
8658634010,"P I F                                                                                               ",537000.00,240,15,537000.00,0.00,"Declined"
8658643006,"P I F                                                                                               ",400000.00,6,28,400000.00,0.00,"Approved"
8658654005,"P I F                                                                                               ",100000.00,84,10,100000.00,0.00,"Approved"
8658663001,"P I F                                                                                               ",300000.00,216,6,300000.00,0.00,"Declined"
8658664008,"CHGOFF                                                                                              ",140000.00,66,2,140000.00,100753.00,"Declined"
8658673004,"P I F                                                                                               ",101250.00,300,1,101250.00,0.00,"Declined"
8658674000,"P I F                                                                                               ",75000.00,48,5,75000.00,0.00,"Approved"
8658684003,"P I F                                                                                               ",175000.00,108,2,175000.00,0.00,"Declined"
8658694006,"P I F                                                                                               ",50000.00,36,10,50000.00,0.00,"Approved"
8658704007,"P I F                                                                                               ",148500.00,85,2,148500.00,0.00,"Declined"
8658713003,"P I F                                                                                               ",10000.00,36,1,10000.00,0.00,"Declined"
8658723006,"P I F                                                                                               ",446400.00,180,2,446400.00,0.00,"Declined"
8658733009,"P I F                                                                                               ",25000.00,60,2,25000.00,0.00,"Declined"
8658734005,"P I F                                                                                               ",100000.00,84,15,175999.00,0.00,"Approved"
8658743001,"P I F                                                                                               ",80000.00,60,2,80000.00,0.00,"Approved"
8658764003,"P I F                                                                                               ",1360000.00,288,8,1360000.00,0.00,"Declined"
8658773010,"P I F                                                                                               ",25000.00,60,9,25000.00,0.00,"Declined"
8658803006,"P I F                                                                                               ",30000.00,36,3,30000.00,0.00,"Declined"
8658804002,"P I F                                                                                               ",990000.00,288,32,990000.00,0.00,"Declined"
8658813009,"P I F                                                                                               ",108000.00,300,2,108000.00,0.00,"Declined"
8658833004,"P I F                                                                                               ",250000.00,84,10,250000.00,0.00,"Approved"
8658843007,"P I F                                                                                               ",50000.00,36,3,50000.00,0.00,"Approved"
8658854006,"P I F                                                                                               ",15000.00,84,2,28469.00,0.00,"Declined"
8658863002,"P I F                                                                                               ",162000.00,300,4,162000.00,0.00,"Declined"
8658864009,"CHGOFF                                                                                              ",25000.00,60,1,25000.00,21067.00,"Declined"
8658873005,"P I F                                                                                               ",250000.00,180,9,250000.00,0.00,"Declined"
8658883008,"P I F                                                                                               ",217000.00,66,50,217000.00,0.00,"Approved"
8658884004,"P I F                                                                                               ",50000.00,59,2,70837.00,0.00,"Approved"
8658893000,"P I F                                                                                               ",472500.00,300,26,472500.00,0.00,"Declined"
8658904008,"P I F                                                                                               ",20000.00,120,2,49420.00,0.00,"Declined"
8658913004,"P I F                                                                                               ",150000.00,84,17,150000.00,0.00,"Approved"
8658914000,"P I F                                                                                               ",50000.00,84,2,50000.00,0.00,"Approved"
8658933010,"P I F                                                                                               ",100000.00,120,5,100000.00,0.00,"Declined"
8658943002,"P I F                                                                                               ",82000.00,240,5,82000.00,0.00,"Declined"
8658944009,"P I F                                                                                               ",35000.00,60,7,35000.00,0.00,"Declined"
8658953005,"P I F                                                                                               ",30000.00,12,2,30000.00,0.00,"Declined"
8658964004,"CHGOFF                                                                                              ",15000.00,24,4,15000.00,6650.00,"Declined"
8658983003,"P I F                                                                                               ",50000.00,84,2,50000.00,0.00,"Approved"
8658994002,"P I F                                                                                               ",23000.00,84,1,23000.00,0.00,"Declined"
8659023010,"P I F                                                                                               ",200000.00,12,2,200000.00,0.00,"Approved"
8659043005,"P I F                                                                                               ",50000.00,60,1,50000.00,0.00,"Approved"
8659054004,"P I F                                                                                               ",285000.00,240,8,285000.00,0.00,"Declined"
8659063000,"P I F                                                                                               ",50000.00,41,1,50000.00,0.00,"Approved"
8659064007,"P I F                                                                                               ",280000.00,264,8,280000.00,0.00,"Declined"
8659113002,"P I F                                                                                               ",208000.00,120,8,208000.00,0.00,"Declined"
8659124001,"P I F                                                                                               ",253000.00,240,2,253000.00,0.00,"Declined"
8659193004,"P I F                                                                                               ",228000.00,240,8,228000.00,0.00,"Declined"
8659213008,"P I F                                                                                               ",320000.00,3,6,320000.00,0.00,"Approved"
8659223000,"P I F                                                                                               ",60000.00,84,13,60000.00,0.00,"Approved"
8659243006,"P I F                                                                                               ",75000.00,84,2,75000.00,0.00,"Approved"
8659253009,"P I F                                                                                               ",183000.00,240,11,183000.00,0.00,"Declined"
8659263001,"P I F                                                                                               ",100000.00,102,1,100000.00,0.00,"Declined"
8659273004,"P I F                                                                                               ",100000.00,121,2,100000.00,0.00,"Declined"
8659293010,"P I F                                                                                               ",102000.00,13,1,144000.00,0.00,"Approved"
8659303000,"P I F                                                                                               ",100000.00,121,9,100000.00,0.00,"Declined"
8659314010,"P I F                                                                                               ",480500.00,120,40,480500.00,0.00,"Approved"
8659323006,"P I F                                                                                               ",60000.00,60,6,60000.00,0.00,"Approved"
8659324002,"P I F                                                                                               ",150000.00,60,125,150000.00,0.00,"Declined"
8659333009,"P I F                                                                                               ",60000.00,96,3,60000.00,0.00,"Declined"
8659343001,"P I F                                                                                               ",332000.00,240,8,332000.00,0.00,"Declined"
8659344008,"P I F                                                                                               ",965000.00,240,1,965000.00,0.00,"Declined"
8659353004,"P I F                                                                                               ",95000.00,240,12,95000.00,0.00,"Declined"
8659363007,"P I F                                                                                               ",15000.00,48,1,15000.00,0.00,"Declined"
8659384009,"P I F                                                                                               ",200000.00,120,2,200000.00,0.00,"Declined"
8659404002,"CHGOFF                                                                                              ",5000.00,13,1,5000.00,1866.00,"Declined"
8659474001,"CHGOFF                                                                                              ",25000.00,6,2,25000.00,6949.00,"Declined"
8659483008,"P I F                                                                                               ",53000.00,120,2,53000.00,0.00,"Declined"
8659484004,"P I F                                                                                               ",2000000.00,123,33,2000000.00,0.00,"Declined"
8659504008,"P I F                                                                                               ",608000.00,120,38,608000.00,0.00,"Declined"
8659513004,"P I F                                                                                               ",102000.00,13,1,118900.00,0.00,"Approved"
8659514000,"P I F                                                                                               ",683000.00,120,9,672000.00,0.00,"Declined"
8659523007,"P I F                                                                                               ",186000.00,240,42,186000.00,0.00,"Declined"
8659524003,"CHGOFF                                                                                              ",25000.00,59,7,25000.00,20542.00,"Declined"
8659534006,"P I F                                                                                               ",25000.00,114,2,43695.00,0.00,"Declined"
8659544009,"P I F                                                                                               ",100000.00,12,125,100000.00,0.00,"Declined"
8659574007,"P I F                                                                                               ",28000.00,80,1,28000.00,0.00,"Declined"
8659583003,"P I F                                                                                               ",100000.00,60,4,100000.00,0.00,"Approved"
8659603007,"P I F                                                                                               ",100000.00,12,19,60000.00,0.00,"Approved"
8659613010,"P I F                                                                                               ",441000.00,240,48,441000.00,0.00,"Declined"
8659633005,"P I F                                                                                               ",25000.00,96,2,25000.00,0.00,"Declined"
8659634001,"P I F                                                                                               ",60000.00,84,1,60000.00,0.00,"Approved"
8659643008,"P I F                                                                                               ",135000.00,240,13,135000.00,0.00,"Declined"
8659654007,"P I F                                                                                               ",30000.00,96,2,52810.00,0.00,"Declined"
8659663003,"P I F                                                                                               ",100000.00,60,4,100000.00,0.00,"Approved"
8659673006,"P I F                                                                                               ",290000.00,300,5,290000.00,0.00,"Declined"
8659674002,"P I F                                                                                               ",60000.00,35,1,73000.00,0.00,"Approved"
8659683009,"P I F                                                                                               ",15000.00,60,1,15000.00,0.00,"Declined"
8659693001,"P I F                                                                                               ",50000.00,84,2,50000.00,0.00,"Approved"
8659694008,"CHGOFF                                                                                              ",50000.00,24,6,50000.00,34526.00,"Declined"
8659713005,"P I F                                                                                               ",50000.00,84,4,40000.00,0.00,"Approved"
8659753006,"P I F                                                                                               ",100000.00,120,1,99602.00,0.00,"Declined"
8659774008,"P I F                                                                                               ",1040000.00,214,6,1040000.00,0.00,"Declined"
8659783004,"P I F                                                                                               ",14000.00,48,3,14000.00,0.00,"Declined"
8659784000,"CHGOFF                                                                                              ",25000.00,22,1,25000.00,15696.00,"Declined"
8659794003,"P I F                                                                                               ",25000.00,36,3,25000.00,0.00,"Declined"
8659814007,"P I F                                                                                               ",7000.00,84,1,16102.00,0.00,"Declined"
8659823003,"P I F                                                                                               ",175000.00,144,7,175000.00,0.00,"Declined"
8659824010,"CHGOFF                                                                                              ",25000.00,59,1,47000.00,23505.00,"Declined"
8659834002,"P I F                                                                                               ",100000.00,90,2,100000.00,0.00,"Declined"
8659844005,"P I F                                                                                               ",35000.00,24,5,35001.00,0.00,"Declined"
8659854008,"P I F                                                                                               ",300000.00,84,4,300000.00,0.00,"Approved"
8659864000,"P I F                                                                                               ",1181000.00,300,10,1181000.00,0.00,"Declined"
8659883010,"P I F                                                                                               ",100000.00,84,4,100000.00,0.00,"Approved"
8659884006,"P I F                                                                                               ",150000.00,120,2,150000.00,0.00,"Declined"
8659894009,"P I F                                                                                               ",5000.00,42,1,5000.00,3434.00,"Declined"
8659911003,"CHGOFF                                                                                              ",52000.00,4,6,52000.00,7018.00,"Approved"
8659923009,"P I F                                                                                               ",100000.00,126,10,100000.00,0.00,"Declined"
8659933001,"P I F                                                                                               ",95000.00,84,3,95000.00,0.00,"Approved"
8659943004,"P I F                                                                                               ",50000.00,12,7,50576.00,0.00,"Approved"
8659944000,"P I F                                                                                               ",669000.00,240,1,669000.00,0.00,"Declined"
8659973002,"P I F                                                                                               ",17000.00,60,8,17000.00,0.00,"Declined"
8659983005,"P I F                                                                                               ",100000.00,84,2,100000.00,0.00,"Approved"
8659993008,"P I F                                                                                               ",175800.00,72,36,175800.00,0.00,"Approved"
8660003001,"P I F                                                                                               ",50000.00,120,16,50000.00,0.00,"Declined"
8660014000,"P I F                                                                                               ",297000.00,300,2,297000.00,0.00,"Declined"
8660024003,"P I F                                                                                               ",93000.00,240,2,93000.00,0.00,"Declined"
8660033010,"P I F                                                                                               ",365000.00,6,60,365000.00,0.00,"Approved"
8660053005,"P I F                                                                                               ",100000.00,108,1,100000.00,0.00,"Declined"
8660054001,"P I F                                                                                               ",1450000.00,164,4,1450000.00,0.00,"Declined"
8660063008,"P I F                                                                                               ",300000.00,84,13,300000.00,0.00,"Approved"
8660083003,"P I F                                                                                               ",200000.00,84,30,200000.00,0.00,"Approved"
8660093006,"P I F                                                                                               ",30000.00,84,2,30000.00,0.00,"Declined"
8660103007,"CHGOFF                                                                                              ",47600.00,91,2,47600.00,29053.00,"Declined"
8660104003,"P I F                                                                                               ",166000.00,240,8,166000.00,0.00,"Declined"
8660123002,"P I F                                                                                               ",235000.00,84,8,235000.00,0.00,"Approved"
8660143008,"P I F                                                                                               ",25000.00,83,5,25000.00,0.00,"Declined"
8660153000,"P I F                                                                                               ",200000.00,12,7,200000.00,0.00,"Approved"
8660164010,"P I F                                                                                               ",25000.00,60,6,25479.00,0.00,"Declined"
8660173006,"P I F                                                                                               ",50000.00,120,3,50000.00,0.00,"Declined"
8660174002,"CHGOFF                                                                                              ",50000.00,23,4,64838.00,7973.00,"Approved"
8660183009,"P I F                                                                                               ",500000.00,240,4,500000.00,0.00,"Declined"
8660184005,"CHGOFF                                                                                              ",50000.00,69,4,50000.00,26998.00,"Declined"
8660193001,"P I F                                                                                               ",402000.00,240,25,402000.00,0.00,"Declined"
8660194008,"CHGOFF                                                                                              ",792000.00,101,15,792000.00,727963.00,"Declined"
8660203002,"P I F                                                                                               ",30000.00,84,2,30000.00,0.00,"Declined"
8660204009,"P I F                                                                                               ",230000.00,84,6,230000.00,0.00,"Approved"
8660213005,"P I F                                                                                               ",40000.00,72,2,40000.00,0.00,"Declined"
